pc_timestamp,arduino_ms,analog_value
1778577875.933985,20,504
1778577875.9349837,40,505
1778577875.935983,60,503
1778577875.9369826,80,504
1778577875.9379816,100,502
1778577875.9389813,120,504
1778577875.9399805,140,501
1778577875.9419804,160,504
1778577875.942979,180,503
1778577875.9439785,200,502
1778577875.944978,220,505
1778577875.9459774,240,503
1778577875.9469771,260,505
1778577875.9489758,280,503
1778577875.9499748,300,505
1778577875.9509745,320,504
1778577875.9519734,340,503
1778577875.953973,360,505
1778577875.9549718,380,503
1778577875.9559739,400,505
1778577875.9569733,420,503
1778577875.9579704,440,506
1778577875.9589696,460,506
1778577875.9599693,480,504
1778577875.9609845,500,505
1778577875.9619684,520,503
1778577875.9629676,540,505
1778577875.9723465,560,502
1778577875.9929943,580,504
1778577876.0133696,600,503
1778577876.0341523,620,503
1778577876.050268,640,504
1778577876.0707688,660,502
1778577876.0912685,680,505
1778577876.1114647,700,504
1778577876.1324022,720,503
1778577876.1534538,740,503
1778577876.1734428,760,503
1778577876.1934295,780,505
1778577876.2134173,800,503
1778577876.2304091,820,506
1778577876.2503967,840,504
1778577876.2713847,860,505
1778577876.2913735,880,505
1778577876.3123617,900,504
1778577876.3323512,920,505
1778577876.3533387,940,502
1778577876.373328,960,506
1778577876.394317,980,503
1778577876.414304,1000,504
1778577876.435208,1020,503
1778577876.4515839,1040,504
1778577876.4721026,1060,506
1778577876.4926422,1080,503
1778577876.5126774,1100,505
1778577876.532893,1120,503
1778577876.5553422,1140,505
1778577876.573773,1160,504
1778577876.5952494,1180,504
1778577876.6113985,1200,505
1778577876.632694,1220,503
1778577876.6523623,1240,505
1778577876.6741874,1260,503
1778577876.6941853,1280,505
1778577876.715158,1300,504
1778577876.7346675,1320,504
1778577876.7547224,1340,504
1778577876.7745252,1360,503
1778577876.791649,1380,505
1778577876.812025,1400,503
1778577876.8333702,1420,506
1778577876.8537364,1440,503
1778577876.874161,1460,505
1778577876.8953161,1480,505
1778577876.914158,1500,504
1778577876.9346337,1520,505
1778577876.9526231,1540,503
1778577876.9717526,1560,506
1778577876.992088,1580,503
1778577877.0126987,1600,505
1778577877.0326667,1620,505
1778577877.0537307,1640,504
1778577877.0742269,1660,505
