pc_timestamp,arduino_ms,analog_value
1778676200.560248,20,533
1778676200.5622468,40,533
1778676200.5652452,60,535
1778676200.5672443,80,533
1778676200.5692432,100,533
1778676200.571242,120,532
1778676200.5722413,140,535
1778676200.574209,160,535
1778676200.5772388,180,533
1778676200.5792372,200,532
1778676200.5822356,220,535
1778676200.5842342,240,535
1778676200.5872333,260,533
1778676200.5892022,280,532
1778676200.5912306,300,536
1778676200.5932295,320,535
1778676200.5962276,340,535
1778676200.5982265,360,532
1778676200.6002111,380,532
1778676200.6012108,400,535
1778676200.6022103,420,534
1778676200.6032097,440,532
1778676200.6042094,460,533
1778676200.605209,480,535
1778676200.605209,500,534
1778676200.606208,520,532
1778676200.606208,540,532
1778676200.606208,560,532
1778676200.6179972,580,533
1778676200.6380098,600,533
1778676200.6589782,620,532
1778676200.67537,640,535
1778676200.6958725,660,535
1778676200.7170439,680,536
1778676200.7366235,700,532
1778676200.7576103,720,533
1778676200.777527,740,533
1778676200.798246,760,535
1778676200.8185687,780,533
1778676200.8391469,800,533
1778676200.8556473,820,535
1778676200.8760228,840,536
1778676200.8965213,860,533
1778676200.9174006,880,532
1778676200.9373846,900,536
1778676200.9583702,920,535
1778676200.9783587,940,533
1778676200.9988742,960,533
1778676201.0193737,980,535
1778676201.035737,1000,537
1778676201.0562923,1020,534
1778676201.0767732,1040,534
1778676201.0980244,1060,534
1778676201.1183457,1080,536
1778676201.1381493,1100,534
1778676201.1586514,1120,533
1778676201.1791515,1140,532
1778676201.1955266,1160,536
1778676201.2160234,1180,534
1778676201.2365236,1200,534
1778676201.257817,1220,535
1778676201.2774,1240,536
1778676201.2978988,1260,535
1778676201.3184009,1280,533
1778676201.3388996,1300,535
1778676201.3596582,1320,535
1778676201.3757763,1340,534
1778676201.3962753,1360,530
1778676201.4172237,1380,533
1778676201.4371507,1400,535
1778676201.457651,1420,534
1778676201.4788115,1440,533
1778676201.4986522,1460,535
1778676201.5191517,1480,535
1778676201.5355277,1500,534
1778676201.5565717,1520,530
1778676201.5765898,1540,535
1778676201.5964172,1560,535
