pc_timestamp,arduino_ms,analog_value
1778598970.6110547,20,525
1778598970.6110547,40,525
1778598970.6110547,60,525
1778598970.6120532,80,523
1778598970.6120532,100,523
1778598970.6130524,120,525
1778598970.6140518,140,526
1778598970.6140518,160,524
1778598970.6150694,180,523
1778598970.6150694,200,524
1778598970.6160684,220,525
1778598970.6160684,240,525
1778598970.6160684,260,524
1778598970.6170697,280,525
1778598970.6170697,300,526
1778598970.6180685,320,524
1778598970.6180685,340,523
1778598970.6190715,360,525
1778598970.620067,380,525
1778598970.620067,400,521
1778598970.6210682,420,524
1778598970.6210682,440,525
1778598970.6220653,460,526
1778598970.6220653,480,525
1778598970.6230652,500,524
1778598970.6230652,520,522
1778598970.632794,540,526
1778598970.6529677,560,525
1778598970.6734674,580,523
1778598970.6902175,600,524
1778598970.710757,620,525
1778598970.7321396,640,525
1778598970.7529914,660,523
1778598970.7720003,680,523
1778598970.7931955,700,525
1778598970.8137488,720,526
1778598970.8332345,740,523
1778598970.8538268,760,523
1778598970.8700714,780,525
1778598970.8910854,800,526
1778598970.9110694,820,523
1778598970.9314728,840,523
1778598970.9540157,860,525
1778598970.9745147,880,526
1778598970.9934254,900,521
1778598971.0134902,920,523
1778598971.0298777,940,526
1778598971.0518386,960,525
1778598971.0717056,980,526
1778598971.0932405,1000,523
1778598971.113413,1020,524
1778598971.1331916,1040,526
1778598971.1546626,1060,522
1778598971.1741164,1080,523
1778598971.1944308,1100,524
1778598971.2106104,1120,526
1778598971.2325156,1140,525
1778598971.2530158,1160,522
1778598971.2734892,1180,524
1778598971.2938921,1200,525
1778598971.314487,1220,525
1778598971.3331447,1240,523
1778598971.354394,1260,524
1778598971.3701015,1280,525
1778598971.3922663,1300,525
1778598971.412583,1320,523
1778598971.434071,1340,524
1778598971.453955,1360,524
1778598971.474596,1380,524
1778598971.494613,1400,523
1778598971.5133595,1420,525
1778598971.5335765,1440,525
1778598971.550532,1460,524
1778598971.572394,1480,523
1778598971.5924246,1500,521
1778598971.6134126,1520,525
1778598971.6323998,1540,525
1778598971.6523888,1560,521
1778598971.6727917,1580,524
1778598971.6931677,1600,525
1778598971.713725,1620,525
1778598971.7302272,1640,524
1778598971.7506025,1660,522
1778598971.7711813,1680,525
1778598971.7936215,1700,525
1778598971.814048,1720,524
1778598971.8347335,1740,522
1778598971.8540232,1760,524
1778598971.8745246,1780,525
1778598971.890239,1800,523
1778598971.9109879,1820,519
1778598971.9318361,1840,521
1778598971.9543967,1860,525
1778598971.9743264,1880,523
1778598971.9952402,1900,523
1778598972.0132644,1920,524
1778598972.033962,1940,523
1778598972.0547748,1960,525
1778598972.0711484,1980,522
1778598972.0915787,2000,522
1778598972.1132162,2020,524
1778598972.1335516,2040,525
1778598972.1525395,2060,522
1778598972.1724794,2080,522
1778598972.1929595,2100,525
1778598972.2134602,2120,524
1778598972.2302415,2140,522
1778598972.2502434,2160,522
1778598972.2717783,2180,524
1778598972.293275,2200,525
1778598972.3136272,2220,522
1778598972.3343189,2240,522
1778598972.3546891,2260,523
1778598972.3742778,2280,524
1778598972.3947482,2300,523
1778598972.410996,2320,521
1778598972.4314268,2340,523
1778598972.451993,2360,524
1778598972.4735253,2380,524
1778598972.49453,2400,521
1778598972.5148177,2420,523
1778598972.5335417,2440,524
1778598972.5545292,2460,525
1778598972.5705423,2480,519
1778598972.5902405,2500,523
