pc_timestamp,arduino_ms,analog_value
1778577875.933985,20,497
1778577875.9349837,64631740,500
1778577875.9369826,64631760,497
1778577875.9389813,64631780,500
1778577875.94098,64631800,498
1778577875.942979,64631820,500
1778577875.9439785,64631840,498
1778577875.9459774,64631860,500
1778577875.947976,64631700,500
1778577875.9499748,64631720,497
1778577875.9519734,64631740,500
1778577875.9529731,64631760,497
1778577875.953973,64631780,500
1778577875.9559739,64631800,498
1778577875.9569733,64631820,500
1778577875.9589696,64631840,498
1778577875.9609845,64631860,500
1778577875.9619684,20,500
1778577875.9629676,40,502
1778577875.9629676,60,499
1778577875.9639688,80,502
1778577875.9639688,100,500
1778577875.9639688,120,502
1778577875.9639688,140,499
1778577875.964967,160,502
1778577875.964967,180,499
1778577875.964967,200,501
1778577875.9659853,220,499
1778577875.9659853,240,501
1778577875.9659853,260,500
1778577875.9659853,280,501
1778577875.966965,300,500
1778577875.966965,320,501
1778577875.966965,340,502
1778577875.966965,360,501
1778577875.9679644,380,503
1778577875.9679644,400,501
1778577875.9679644,420,502
1778577875.9689639,440,500
1778577875.9757445,460,502
1778577875.9922452,480,500
1778577876.0127442,500,502
1778577876.033143,520,499
1778577876.053645,540,502
1778577876.074143,560,499
1778577876.0952752,580,502
1778577876.1150553,600,499
1778577876.1355193,620,502
1778577876.1524854,640,499
1778577876.172443,660,502
1778577876.1924303,680,501
1778577876.2134173,700,502
1778577876.2334068,720,501
1778577876.2543948,740,502
1778577876.2743845,760,501
1778577876.2953715,780,502
1778577876.315361,800,501
1778577876.3323512,820,501
1778577876.352339,840,501
1778577876.373328,860,501
1778577876.393318,880,502
1778577876.414304,900,501
1778577876.4344587,920,501
1778577876.4549584,940,501
1778577876.4755173,960,502
1778577876.496017,980,499
1778577876.5121443,1000,502
1778577876.532893,1020,499
1778577876.5543115,1040,502
1778577876.5747817,1060,499
1778577876.5942426,1080,502
1778577876.6154058,1100,499
1778577876.635693,1120,502
1778577876.6557755,1140,499
1778577876.6741874,1160,502
1778577876.6931589,1180,499
1778577876.7141569,1200,502
1778577876.7336683,1220,499
1778577876.7547224,1240,502
1778577876.7755396,1260,499
1778577876.7950232,1280,502
1778577876.8160374,1300,499
1778577876.8360229,1320,501
1778577876.8537364,1340,500
1778577876.873184,1360,501
1778577876.894285,1380,500
1778577876.9151602,1400,501
1778577876.9346337,1420,500
1778577876.9546533,1440,501
1778577876.975252,1460,500
1778577876.9956279,1480,501
1778577877.0116994,1500,500
1778577877.0326667,1520,500
1778577877.053003,1540,500
1778577877.0735013,1560,500
1778577877.0937088,1580,501
1778577877.1150804,1600,500
1778577877.1350262,1620,502
1778577877.1560762,1640,500
1778577877.1760287,1660,502
1778577877.1964014,1680,499
1778577877.216783,1700,502
1778577877.2340264,1720,499
1778577877.2547934,1740,502
1778577877.2755158,1760,500
1778577877.2953987,1780,502
1778577877.315386,1800,499
1778577877.3353736,1820,502
1778577877.3559654,1840,500
1778577877.3764665,1860,503
1778577877.3929656,1880,499
1778577877.4134662,1900,502
1778577877.4339664,1920,499
1778577877.4543786,1940,502
1778577877.4749048,1960,500
1778577877.4954104,1980,502
1778577877.5162687,2000,500
1778577877.5362837,2020,502
1778577877.5567844,2040,501
1778577877.5731595,2060,502
1778577877.5936594,2080,501
1778577877.6141596,2100,502
1778577877.634313,2120,501
1778577877.6551552,2140,501
1778577877.6756554,2160,501
1778577877.6960304,2180,502
1778577877.7166474,2200,501
1778577877.7342749,2220,501
1778577877.7538922,2240,502
1778577877.775371,2260,499
1778577877.7950387,2280,502
1778577877.8149111,2300,499
1778577877.8357487,2320,502
1778577877.8557565,2340,499
1778577877.876285,2360,502
1778577877.896786,2380,500
1778577877.9131608,2400,502
1778577877.9338145,2420,499
1778577877.954161,2440,502
1778577877.974661,2460,500
1778577877.9950874,2480,502
1778577878.0149684,2500,500
1778577878.0360324,2520,502
1778577878.0565312,2540,500
1778577878.0729072,2560,502
1778577878.0934064,2580,500
1778577878.114923,2600,500
1778577878.1352942,2620,500
1778577878.1547842,2640,500
1778577878.1752865,2660,501
1778577878.196536,2680,500
1778577878.216488,2700,501
1778577878.2371852,2720,500
1778577878.253875,2740,501
1778577878.2740502,2760,500
1778577878.2950528,2780,502
1778577878.3149993,2800,500
1778577878.3357003,2820,501
1778577878.3556893,2840,499
1778577878.3760362,2860,502
1778577878.3964114,2880,499
1778577878.417541,2900,502
1778577878.4334474,2920,499
1778577878.4537334,2940,502
1778577878.475301,2960,499
1778577878.495531,2980,502
1778577878.515287,3000,499
1778577878.536325,3020,502
1778577878.5562623,3040,499
1778577878.5766625,3060,502
1778577878.5940464,3080,499
1778577878.6145525,3100,502
1778577878.6345453,3120,499
1778577878.6549046,3140,502
1778577878.6750395,3160,499
1778577878.6961913,3180,501
1778577878.7170508,3200,499
1778577878.7368762,3220,501
1778577878.756914,3240,502
1778577878.7742982,3260,501
1778577878.7948036,3280,502
1778577878.81533,3300,501
1778577878.8348706,3320,502
1778577878.8551676,3340,501
1778577878.8756664,3360,502
1778577878.896168,3380,501
1778577878.9163635,3400,502
1778577878.9329739,3420,500
1778577878.9535422,3440,502
1778577878.9740431,3460,500
1778577878.9944172,3480,502
1778577879.0149162,3500,501
1778577879.0354192,3520,502
1778577879.0561018,3540,499
1778577879.07642,3560,502
1778577879.0967944,3580,499
1778577879.1132925,3600,502
1778577879.1338556,3620,500
1778577879.1551812,3640,502
1778577879.1746671,3660,499
1778577879.1951673,3680,502
