pc_timestamp,arduino_ms,analog_value
1778676200.559217,20,469
1778676200.5622468,40,466
1778676200.5642457,60,468
1778676200.5662446,80,466
1778676200.5692432,100,469
1778676200.573209,120,466
1778676200.574209,140,469
1778676200.5762393,160,467
1778676200.5792372,180,469
1778676200.5812361,200,468
1778676200.5842342,220,468
1778676200.5862334,240,467
1778676200.5892022,260,468
1778676200.5912306,280,468
1778676200.594229,300,468
1778676200.5962276,320,469
1778676200.599226,340,466
1778676200.6002111,360,469
1778676200.6012108,380,466
1778676200.6022103,400,469
1778676200.6032097,420,466
1778676200.6042094,440,469
1778676200.605209,460,467
1778676200.6200173,480,469
1778676200.6400087,500,467
1778676200.6569977,520,469
1778676200.6777449,540,468
1778676200.6978786,560,469
1778676200.7186263,580,468
1778676200.739622,600,469
1778676200.7596087,620,469
1778676200.779541,640,468
1778676200.800496,660,469
1778676200.8205495,680,466
1778676200.8370845,700,469
1778676200.8578954,720,466
1778676200.878331,740,469
1778676200.8996003,760,466
1778676200.9193995,780,469
1778676200.9403822,800,467
1778676200.960369,820,469
1778676200.9803574,840,467
1778676200.997123,860,469
1778676201.017624,880,468
1778676201.038112,900,469
1778676201.0586474,920,468
1778676201.0791476,940,469
1778676201.0994525,960,469
1778676201.1203597,980,466
1778676201.1405263,1000,469
1778676201.1610262,1020,466
1778676201.1774006,1040,469
1778676201.1979032,1060,466
1778676201.2184014,1080,469
1778676201.2389004,1100,467
1778676201.2598567,1120,469
1778676201.279774,1140,466
1778676201.3002741,1160,469
1778676201.3214085,1180,467
1778676201.3378131,1200,469
1778676201.3576498,1220,467
1778676201.3781514,1240,469
1778676201.3993142,1260,468
1778676201.4190269,1280,469
1778676201.439525,1300,468
1778676201.4606602,1320,467
1778676201.4808087,1340,468
1778676201.5010276,1360,467
1778676201.517401,1380,468
1778676201.538608,1400,466
1778676201.5585685,1420,469
1778676201.578588,1440,466
1778676201.598845,1460,468
1778676201.61974,1480,467
1778676201.6402528,1500,469
1778676201.660628,1520,467
1778676201.6771119,1540,469
1778676201.6981602,1560,467
1778676201.7180278,1580,470
1778676201.7392652,1600,467
1778676201.7597363,1620,468
1778676201.7795274,1640,467
1778676201.7999024,1660,468
1778676201.8212347,1680,468
1778676201.841482,1700,468
1778676201.8604698,1720,468
1778676201.8814573,1740,468
1778676201.8974478,1760,469
1778676201.9187164,1780,467
1778676201.9392548,1800,469
1778676201.9596303,1820,467
1778676201.9801621,1840,470
1778676202.000659,1860,468
1778676202.0210335,1880,470
1778676202.041535,1900,468
1778676202.0580337,1920,471
1778676202.0789344,1940,469
1778676202.0989108,1960,472
1778676202.1194108,1980,470
1778676202.1399102,2000,472
1778676202.1604102,2020,471
1778676202.1809115,2040,473
1778676202.201406,2060,472
1778676202.221781,2080,473
1778676202.2381573,2100,473
1778676202.2586575,2120,473
1778676202.2791574,2140,475
1778676202.299657,2160,473
1778676202.3201587,2180,475
1778676202.3406572,2200,474
1778676202.3609629,2220,476
1778676202.381539,2240,475
1778676202.4020324,2260,477
1778676202.4184244,2280,475
1778676202.4389079,2300,478
1778676202.4594076,2320,476
1778676202.480373,2340,479
1778676202.5004098,2360,477
1778676202.5214922,2380,479
1778676202.541285,2400,478
1778676202.561785,2420,481
1778676202.57816,2440,480
1778676202.5986617,2460,481
1778676202.6191595,2480,481
1778676202.6396592,2500,481
1778676202.6607935,2520,482
1778676202.6805353,2540,481
1778676202.701035,2560,482
1778676202.722241,2580,481
1778676202.7419114,2600,483
1778676202.758411,2620,480
1778676202.7789116,2640,482
1778676202.8000453,2660,479
1778676202.8197875,2680,480
1778676202.840286,2700,477
1778676202.8615305,2720,480
1778676202.8805354,2740,476
1778676202.9016333,2760,478
1778676202.9181383,2780,475
1778676202.9385128,2800,476
1778676202.959562,2820,473
1778676202.9795365,2840,474
1778676203.000037,2860,471
1778676203.020537,2880,471
1778676203.0410373,2900,472
1778676203.061413,2920,469
1778676203.081867,2940,470
1778676203.0984125,2960,468
1778676203.11879,2980,470
1778676203.1392899,3000,467
1778676203.1597881,3020,470
1778676203.180288,3040,467
1778676203.2007887,3060,469
1778676203.2211118,3080,466
1778676203.241664,3100,469
1778676203.2580407,3120,466
1778676203.2785394,3140,469
1778676203.299681,3160,466
1778676203.3195395,3180,468
1778676203.3400395,3200,467
1778676203.3602042,3220,468
1778676203.380915,3240,469
1778676203.4015732,3260,467
1778676203.422536,3280,469
1778676203.4389555,3300,467
1778676203.4587905,3320,469
1778676203.4792907,3340,465
1778676203.5004246,3360,469
1778676203.5201652,3380,466
1778676203.5406663,3400,469
1778676203.5618331,3420,465
1778676203.5816662,3440,468
1778676203.5980415,3460,465
1778676203.6185415,3480,468
1778676203.6397078,3500,466
1778676203.659417,3520,468
1778676203.679919,3540,469
1778676203.7004182,3560,467
1778676203.7208898,3580,469
1778676203.741419,3600,467
1778676203.7619176,3620,469
1778676203.778293,3640,466
1778676203.7986677,3660,468
1778676203.8191686,3680,466
1778676203.8404276,3700,468
1778676203.860359,3720,466
1778676203.8813941,3740,468
1778676203.9011688,3760,465
1778676203.9216425,3780,468
1778676203.9420445,3800,466
1778676203.9625444,3820,468
1778676203.9789195,3840,466
1778676203.999392,3860,467
1778676204.0199218,3880,469
1778676204.0404215,3900,467
1778676204.0615714,3920,469
1778676204.0814214,3940,466
1778676204.101677,3960,468
1778676204.1222682,3980,466
1778676204.1426709,4000,469
1778676204.1591713,4020,465
1778676204.1801713,4040,468
1778676204.2001493,4060,466
1778676204.2200587,4080,468
1778676204.2410176,4100,466
1778676204.262212,4120,467
1778676204.2820468,4140,466
1778676204.302423,4160,467
1778676204.322922,4180,469
1778676204.3393693,4200,467
1778676204.3599222,4220,469
1778676204.3804233,4240,467
1778676204.4014726,4260,469
1778676204.4212976,4280,466
1778676204.4417994,4300,469
1778676204.4621735,4320,466
1778676204.482674,4340,468
1778676204.4999025,4360,466
1778676204.5195503,4380,468
1778676204.5409355,4400,465
1778676204.5604553,4420,468
1778676204.5819316,4440,466
1778676204.6015494,4460,468
1778676204.6219254,4480,466
1778676204.6424255,4500,468
1778676204.6629243,4520,468
1778676204.6794271,4540,467
1778676204.6998012,4560,468
1778676204.7202997,4580,467
1778676204.7408018,4600,468
1778676204.7614522,4620,467
1778676204.7816768,4640,469
1778676204.8021762,4660,466
1778676204.822628,4680,469
1778676204.8390524,4700,466
1778676204.859551,4720,468
1778676204.8800511,4740,465
1778676204.9005513,4760,468
1778676204.9209275,4780,465
1778676204.9414275,4800,468
1778676204.961925,4820,467
1778676204.982428,4840,468
1778676205.0029266,4860,468
1778676205.019304,4880,467
1778676205.0398026,4900,468
1778676205.0601797,4920,466
1778676205.0806777,4940,469
1778676205.1011777,4960,467
1778676205.1216776,4980,469
1778676205.1421788,5000,466
1778676205.1626327,5020,468
1778676205.1790533,5040,465
1778676205.1994298,5060,468
1778676205.2199285,5080,465
1778676205.2404306,5100,468
1778676205.2609308,5120,465
1778676205.2824712,5140,468
1778676205.301933,5160,467
1778676205.3224306,5180,468
1778676205.3428063,5200,467
1778676205.359755,5220,467
1778676205.3802888,5240,468
1778676205.4001796,5260,467
1778676205.4206808,5280,468
1778676205.4416974,5300,466
1778676205.461682,5320,468
1778676205.4820557,5340,467
