pc_timestamp,arduino_ms,analog_value
1778598970.6120532,20,476
1778598970.6130524,40,474
1778598970.6130524,60,476
1778598970.6140518,80,474
1778598970.6140518,100,476
1778598970.6150694,120,474
1778598970.6150694,140,477
1778598970.6160684,160,474
1778598970.6170697,180,477
1778598970.6170697,200,474
1778598970.6180685,220,477
1778598970.6180685,240,474
1778598970.6190715,260,478
1778598970.6190715,280,475
1778598970.620067,300,477
1778598970.6210682,320,475
1778598970.6210682,340,476
1778598970.6220653,360,476
1778598970.6230652,380,476
1778598970.6230652,400,477
1778598970.6240766,420,477
1778598970.6324415,440,478
1778598970.6529677,460,476
1778598970.6734674,480,479
1778598970.693117,500,477
1778598970.710757,520,480
1778598970.7311401,540,478
1778598970.7519925,560,481
1778598970.7720003,580,479
1778598970.7931955,600,483
1778598970.8127236,620,482
1778598970.8342428,640,486
1778598970.854833,660,486
1778598970.8743212,680,490
1778598970.8900805,700,490
1778598970.9110694,720,492
1778598970.9314728,740,492
1778598970.9530163,760,493
1778598970.973516,780,494
1778598970.9934254,800,493
1778598971.014467,820,495
1778598971.0338745,840,494
1778598971.0518386,860,497
1778598971.0717056,880,495
1778598971.0922427,900,497
1778598971.113413,920,495
1778598971.134191,940,497
1778598971.1536634,960,493
1778598971.1741164,980,496
1778598971.1944308,1000,492
1778598971.2146356,1020,494
1778598971.234476,1040,490
1778598971.254976,1060,492
1778598971.2734892,1080,489
1778598971.2938921,1100,491
1778598971.3134878,1120,488
1778598971.3341458,1140,489
1778598971.354394,1160,487
1778598971.3738532,1180,488
1778598971.394233,1200,486
1778598971.4145825,1220,486
1778598971.4330714,1240,485
1778598971.4529543,1260,485
1778598971.4735959,1280,485
1778598971.4936152,1300,484
1778598971.5143905,1320,485
1778598971.5346181,1340,482
1778598971.554105,1360,484
1778598971.574479,1380,482
1778598971.594423,1400,484
1778598971.6124134,1420,480
1778598971.6314006,1440,484
1778598971.6523888,1460,481
1778598971.6727917,1480,483
1778598971.6931677,1500,480
1778598971.713725,1520,483
1778598971.734226,1540,480
1778598971.7547264,1560,482
1778598971.7711813,1580,481
1778598971.792648,1600,483
1778598971.8130748,1620,483
1778598971.8337584,1640,483
1778598971.8540232,1660,484
1778598971.8745246,1680,483
1778598971.8942435,1700,484
1778598971.9139864,1720,482
1778598971.9348578,1740,485
1778598971.9533973,1760,482
1778598971.9733267,1780,486
1778598971.9942417,1800,483
1778598972.0142953,1820,486
1778598972.0349925,1840,483
1778598972.0547748,1860,486
1778598972.0742323,1880,483
1778598972.0946972,1900,485
1778598972.1132162,1920,483
