[16/12/25 11:36:53] | DEBUG | EXP:None | CALL move_x(45.6)
[16/12/25 11:36:53] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 45.6. Result: Move X: 2, Success' (Duration: 0.508s)
[16/12/25 11:37:04] | DEBUG | EXP:None | CALL move_x(55.6)
[16/12/25 11:37:04] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 55.6. Result: Move X: 2, Success' (Duration: 0.538s)
[16/12/25 11:37:14] | DEBUG | EXP:None | CALL move_x(47.6)
[16/12/25 11:37:14] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 47.6. Result: Move X: 2, Success' (Duration: 0.540s)
[16/12/25 11:37:23] | DEBUG | EXP:None | CALL move_x(50)
[16/12/25 11:37:23] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 50. Result: Move X: 2, Success' (Duration: 0.521s)
[16/12/25 11:37:31] | DEBUG | EXP:None | CALL move_x(52)
[16/12/25 11:37:32] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52. Result: Move X: 2, Success' (Duration: 0.536s)
[16/12/25 11:37:34] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:37:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.519s)
[16/12/25 11:38:10] | DEBUG | EXP:None | CALL move_x(52.3)
[16/12/25 11:38:10] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:38:10] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.524s)
[16/12/25 11:38:11] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52.3. Result: Move X: 2, Success' (Duration: 1.036s)
[16/12/25 11:38:13] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:38:13] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.524s)
[16/12/25 11:38:32] | DEBUG | EXP:None | CALL move_x(52.1)
[16/12/25 11:38:32] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:38:32] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.521s)
[16/12/25 11:38:33] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52.1. Result: Move X: 2, Success' (Duration: 1.084s)
[16/12/25 11:38:34] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:38:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.528s)
[16/12/25 11:38:50] | DEBUG | EXP:None | CALL move_x(52)
[16/12/25 11:38:50] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:38:50] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.516s)
[16/12/25 11:38:51] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 52. Result: Move X: 2, Success' (Duration: 1.072s)
[16/12/25 11:38:56] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:38:56] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.518s)
[16/12/25 11:41:03] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:42:32] | DEBUG | EXP:None | CALL home()
[16/12/25 11:42:33] | DEBUG | EXP:None | CALL move_z(120)
[16/12/25 11:42:33] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.549s)
[16/12/25 11:42:33] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.066s)
[16/12/25 11:45:33] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 11:45:33] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(8.05), module_name='rack1')
[16/12/25 11:45:33] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=8.05. Result: Move XY: 2, Success' (Duration: 0.559s)
[16/12/25 11:45:33] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.6), np.float64(8.05)) (Duration: 0.560s)
[16/12/25 11:45:45] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[16/12/25 11:45:45] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: No valid response received.' (Duration: 0.561s)
[16/12/25 11:46:11] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[16/12/25 11:46:11] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.517s)
[16/12/25 11:46:34] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[16/12/25 11:46:34] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.541s)
[16/12/25 11:47:47] | DEBUG | EXP:None | CALL go_to_vial('rack1', 2)
[16/12/25 11:47:47] | DEBUG | EXP:None | CALL move_xy(np.float64(35.6), np.float64(25.5), module_name='rack1')
[16/12/25 11:47:48] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.6, Y=25.5. Result: Move XY: 2, Success' (Duration: 0.551s)
