[09/12/25 16:07:17] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.35. Result: Move Y: 2, Success' (Duration: 1.112s)
[09/12/25 16:07:28] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:07:29] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.530s)
[09/12/25 16:08:19] | DEBUG | EXP:None | CALL move_x(36)
[09/12/25 16:08:19] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:08:20] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.532s)
[09/12/25 16:08:20] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 36. Result: Move X: 2, Success' (Duration: 1.060s)
[09/12/25 16:08:29] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:08:30] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.522s)
[09/12/25 16:08:49] | DEBUG | EXP:None | CALL move_x(35)
[09/12/25 16:08:49] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:08:50] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.524s)
[09/12/25 16:08:50] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35. Result: Move X: 2, Success' (Duration: 1.048s)
[09/12/25 16:08:58] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:08:59] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.536s)
[09/12/25 16:11:30] | DEBUG | EXP:None | CALL move_x(35.3)
[09/12/25 16:11:30] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:11:30] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.527s)
[09/12/25 16:11:31] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35.3. Result: Move X: 2, Success' (Duration: 1.056s)
[09/12/25 16:11:41] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:11:41] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.530s)
[09/12/25 16:12:35] | DEBUG | EXP:None | CALL move_y(7.38)
[09/12/25 16:12:35] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:12:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.536s)
[09/12/25 16:12:36] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.38. Result: Move Y: 2, Success' (Duration: 1.080s)
[09/12/25 16:12:39] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:12:39] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.528s)
[09/12/25 16:13:16] | DEBUG | EXP:None | CALL move_y(7.42)
[09/12/25 16:13:16] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:13:17] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.544s)
[09/12/25 16:13:18] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.42. Result: Move Y: 2, Success' (Duration: 1.088s)
[09/12/25 16:13:20] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:13:20] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.543s)
[09/12/25 16:13:57] | DEBUG | EXP:None | CALL move_y(7.44)
[09/12/25 16:13:57] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:13:57] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.528s)
[09/12/25 16:13:58] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.44. Result: Move Y: 2, Success' (Duration: 1.042s)
[09/12/25 16:13:59] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:13:59] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.529s)
[09/12/25 16:14:21] | DEBUG | EXP:None | CALL move_y(7.46)
[09/12/25 16:14:21] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:14:22] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.543s)
[09/12/25 16:14:22] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.46. Result: Move Y: 2, Success' (Duration: 1.104s)
[09/12/25 16:14:25] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:14:25] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.533s)
[09/12/25 16:14:46] | DEBUG | EXP:None | CALL move_y(7.48)
[09/12/25 16:14:46] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:14:46] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.528s)
[09/12/25 16:14:47] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.48. Result: Move Y: 2, Success' (Duration: 1.088s)
[09/12/25 16:14:50] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:14:50] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.544s)
[09/12/25 16:15:22] | DEBUG | EXP:None | CALL move_y(7.52)
[09/12/25 16:15:22] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:15:22] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.541s)
[09/12/25 16:15:23] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.52. Result: Move Y: 2, Success' (Duration: 1.085s)
[09/12/25 16:15:25] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[09/12/25 16:15:26] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: Move Z: 2, Success' (Duration: 0.540s)
[09/12/25 16:17:15] | DEBUG | EXP:None | CALL move_z(44, allow_in_vial=True)
[09/12/25 16:17:15] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 44. Result: Move Z: 2, Success' (Duration: 0.537s)
[09/12/25 16:17:29] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:17:29] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.538s)
[09/12/25 16:18:31] | DEBUG | EXP:None | CALL move_y(7.6)
[09/12/25 16:18:31] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:18:32] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.525s)
[09/12/25 16:18:32] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.6. Result: Move Y: 2, Success' (Duration: 1.074s)
[09/12/25 16:18:35] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:18:35] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.514s)
[09/12/25 16:18:50] | DEBUG | EXP:None | CALL move_y(7.65)
[09/12/25 16:18:50] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:18:50] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.514s)
[09/12/25 16:18:51] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.65. Result: Move Y: 2, Success' (Duration: 1.062s)
[09/12/25 16:18:53] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:18:54] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.513s)
[09/12/25 16:19:43] | DEBUG | EXP:None | CALL move_x(34.8)
[09/12/25 16:19:43] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:19:44] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.515s)
[09/12/25 16:19:44] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 34.8. Result: Move X: 2, Success' (Duration: 1.042s)
[09/12/25 16:19:46] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:19:47] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.532s)
[09/12/25 16:20:31] | DEBUG | EXP:None | CALL move_y(7.7)
[09/12/25 16:20:31] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:20:32] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.511s)
[09/12/25 16:20:33] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 7.7. Result: Move Y: 2, Success' (Duration: 1.059s)
[09/12/25 16:20:33] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:20:34] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.521s)
[09/12/25 16:22:05] | DEBUG | EXP:None | CALL move_y(8)
[09/12/25 16:22:05] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:22:05] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.561s)
[09/12/25 16:22:06] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 8. Result: Move Y: 2, Success' (Duration: 1.120s)
[09/12/25 16:22:09] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:22:10] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.518s)
[09/12/25 16:23:11] | DEBUG | EXP:None | CALL move_x(35.2)
[09/12/25 16:23:11] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:23:12] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.507s)
[09/12/25 16:23:12] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35.2. Result: Move X: 2, Success' (Duration: 1.070s)
[09/12/25 16:23:15] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:23:15] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.507s)
[09/12/25 16:23:45] | DEBUG | EXP:None | CALL move_x(35.4)
[09/12/25 16:23:45] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:23:46] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.533s)
[09/12/25 16:23:46] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35.4. Result: Move X: 2, Success' (Duration: 1.078s)
[09/12/25 16:23:47] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:23:48] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.512s)
[09/12/25 16:24:27] | DEBUG | EXP:None | CALL move_x(35.1)
[09/12/25 16:24:27] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:24:28] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.530s)
[09/12/25 16:24:28] | DEBUG | EXP:None | RETURN move_x -> 'Moved X to 35.1. Result: Move X: 2, Success' (Duration: 1.090s)
[09/12/25 16:24:29] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:24:30] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.510s)
[09/12/25 16:26:46] | DEBUG | EXP:None | CALL move_y(8.2)
[09/12/25 16:26:46] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:26:46] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.518s)
[09/12/25 16:26:47] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 8.2. Result: Move Y: 2, Success' (Duration: 1.081s)
[09/12/25 16:26:56] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:26:57] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.521s)
[09/12/25 16:27:19] | DEBUG | EXP:None | CALL move_y(8.05)
[09/12/25 16:27:19] | DEBUG | EXP:None | CALL move_z(55)
[09/12/25 16:27:19] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.531s)
[09/12/25 16:27:20] | DEBUG | EXP:None | RETURN move_y -> 'Moved Y to 8.05. Result: Move Y: 2, Success' (Duration: 1.093s)
[09/12/25 16:27:21] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:27:21] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.533s)
[09/12/25 16:38:59] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[09/12/25 16:39:06] | DEBUG | EXP:None | CALL move_z(50, allow_in_vial=True)
[09/12/25 16:39:07] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 50. Result: Move Z: 2, Success' (Duration: 0.537s)
[09/12/25 16:40:01] | DEBUG | EXP:None | CALL move_z(43, allow_in_vial=True)
[09/12/25 16:40:01] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 43. Result: Move Z: 2, Success' (Duration: 0.534s)
